	neutrophils	lymphocytes	monocytes	eosinophils	basophils
ABCA2	-0.11011552861599579	0.09711709916156795	-0.02446383729010218	-0.04217983100315468	0.0005245391452716757
ABCA3	-1.711164044079693	0.18026232663825295	-0.09265316287580584	-0.056503365631572905	-0.0013335992219304072
ABCA5	-0.7042391505282388	0.15429692829291514	-0.04325524545262398	0.02197354569806849	0.002113520815288015
ABCA6	-1.7288520824067426	-0.15183545596198347	-0.020687683811601278	0.00042107793853439577	-0.005430392664216211
ABCA7	0.2541755250436516	-0.14444070158967418	-0.02091547740017665	0.00802244383402515	-0.0026547463711039444
ABCB1	-1.003936706946235	0.25846168991503227	-0.07702265371283577	-0.039284692455658264	0.000764643340615095
ABCB10	-2.077857754903244	-0.09552566474672845	-0.042615154694710576	0.15810860468774154	-0.0024155579064788863
ABCB4	-0.9657166840077188	0.34824693804741286	-0.050446278817978675	0.029394681823833254	0.003810491406814883
ABCB6	-2.1284987584427943	-0.20273120222562793	-0.15597232535396252	-0.04381832318541466	-0.006769510807554741
ABCB7	-2.388453600192756	0.22138203843035126	-0.05595983660466171	0.041741485671087014	-0.004225063608540677
ABCB8	-1.6114599741019404	0.18629467006266598	-0.06376107244591056	-0.0037763789763193695	0.0004002766080011933
ABCB9	-1.4083043553614316	0.0679877925929798	-0.08644791717281025	-0.029901787424459994	0.002490979709496626
ABCC1	-0.8871706200152879	0.04474183691905048	-0.021555875365176263	0.09328582917859145	0.003567780401901073
ABCC10	-0.9692005202104769	0.15397685225306687	-0.024257128187205285	0.021254255941103372	0.0016101971496765512
ABCC13	-0.425394265736518	-0.1395083726703843	-0.030933587852613742	0.02664854283415561	-0.00035798192987474974
ABCC2	0.4400014617340673	-0.05800679917750963	-0.019619985597454623	0.013861282361871804	0.0013457697171942405
ABCC3	-0.4723623800148367	-0.27297102074094903	-0.028589768233512412	-0.006987179667298747	-0.0049754615405499065
ABCC4	-0.7994199612612212	-0.16915025728268104	-0.059347662447046146	-0.015673798696368146	-0.003638053022624074
ABCC5	0.2716458333634872	-0.1267070325110949	-0.037267582609856645	-0.0069633239247998795	0.003397761212867457
ABCC6	0.15588109636021102	-0.3002309916434773	0.06071006953153906	-0.04020729691666793	-0.0005742586791587704
ABCD1	-0.45666694637431726	-0.3507782061153495	0.03246809229753713	0.06466021758490229	-0.003657667103777187
ABCD2	-1.4074536959739037	0.3877610498587888	-0.09455442932123882	-0.02625314819743716	-0.0014295518751967133
ABCD3	-1.751866129840433	0.13013587556309356	-0.04182560274104119	0.016840736133764148	-0.0034998602369220744
ABCD4	-1.9289166640443989	0.1473635482253068	-0.0926785308953119	0.008853348805648142	0.00015156634862769258
ABCE1	-2.012639963547132	0.2421885721690138	-0.08141087267674384	-0.0010808964963845917	-0.001432734558267542
ABCF1	-1.6785995000670688	0.2350376183663217	-0.06902023637318949	-0.0005120102543893019	-0.0028554876948371686
ABCF2	-2.042027356112635	0.19854827919909218	-0.05611847322797736	0.011356648362006325	-0.007330566855084354
ABCF3	-1.9499731970881184	-0.030394831751252134	-0.07772400797500659	0.006269207846720174	-0.005220897223354897
ABCG1	0.12267455278794198	-0.4293481558204069	-0.0661447098758004	-0.029420864856093604	-0.005162300155815108
ABCG2	-0.9282176745900195	-0.35999455259257646	-0.08480771364461184	0.0004113696642949775	-2.0836611891582777e-05
ABHD1	-0.12869446124459957	0.3769536383866596	-0.004662156282177771	0.059634460072651205	0.015521185228591633
ABHD10	-2.0136554229595203	0.0182058710204144	-0.03943154093156044	0.1398084439325702	-0.0037033883984083082
ABHD11	-0.5712148289753758	-0.32412903581845415	-0.022480231835351906	-0.039856211702794735	-0.000656831158696117
ABHD12	-2.0738651298882886	-0.06493203616023355	-0.04124961525681345	0.05910852311390579	-0.007874300513883756
ABHD13	0.0912378890338234	-0.1805225104999021	-0.012200369355439061	0.038432409223300414	-0.002826367586914689
ABHD14A	-1.5826800301650767	0.1581343591281336	-0.10297327663825998	-0.03769059971347445	-0.007373475199896261
ABHD14B	-1.8564230125653318	0.26644712692064904	-0.10283391073159757	-0.01884869894006417	-0.0031690932345173795
ABHD2	0.7781321743015148	-0.3913058174279032	-0.007720968850329262	0.02707434163187765	0.0013564855055652127
ABHD3	1.3698449997355473	-0.4635863872950779	0.015767643229791278	-0.0973304366584391	-0.008883081185122137
ABHD4	0.5456454455962588	-0.34920440773338207	-0.028700798601123068	-0.04215791959391028	-0.00014133388744873662
ABHD5	1.2510094941579684	-0.3785567840128292	-0.00578633510727835	-0.06941386635201628	-0.0021243962312493215
ABHD6	-1.7869088300582092	-0.10325449958282774	-0.007769038832328282	0.04794538788909061	-0.004849906333625274
ABHD8	-1.1442021644755473	-0.31506216219491545	-0.014130488284962443	-0.024837292280796976	-0.002684719908517043
ABI1	0.10989848983837641	-0.5764748958912042	-0.03550832397223342	0.06252283589304788	-0.011354518074424108
ABI2	-1.4562797739754767	0.23325422338400983	-0.08521190955877092	-0.004150432039225506	0.0013340263151708956
ABI3	-1.0662887075645424	-0.1477347742482583	-0.004707868412669576	-0.021470772493659775	-0.006087221612884985
ABL1	-1.110082546740885	0.11244025556333867	-0.021159583001825376	0.018656120674541664	0.0017316748154376648
ABL2	-0.3929968015532939	0.23179780625923072	-0.00864522296414259	0.002514015124135561	0.002783264178375582
ABLIM1	-1.2950285332829692	0.3536877877336297	-0.09101186092253377	-0.0038140368700373033	0.001982646879268071
ABLIM2	-1.186416188663146	0.5677456078705337	-0.06407442674274987	-0.012082155943113312	0.007181847391618174
ABLIM3	-0.5226199929510221	-0.27256191937927415	-0.04773087693255217	-0.02237933402319658	-0.002601731208201022
ABO	-1.4581887026420657	-0.003205660220513988	-0.029628943593692957	0.3074805250394105	0.004678937346638399
ABR	0.4554417975467249	-0.34872161203477287	0.03030908808682646	-0.007588009644510147	-0.0033028359682232594
ABT1	-1.9964224492262508	-0.035434467464897146	-0.11963652371743942	0.017113991271513147	-0.008196104264914825
ABTB1	1.0072160816491034	-0.31598030244894504	-0.01100229659407593	-0.04477123960182647	0.00032839559712701097
ABTB2	-0.3221551809872456	-0.08415127111908494	0.011388508365664716	0.29933923215333746	0.0022665418089928115
ACAA1	1.1290920853372783	-0.3813212333826111	0.0407899593318898	0.0781370037486179	-0.0033346889303603657
ACAA2	-1.235657218010084	0.07081978137048166	-0.032743246265826156	0.04694096867741891	-0.002114225719983495
ACACA	-1.2392444593748473	0.35812547931892436	-0.016918106339713822	0.0239059694266832	0.0028418947034251803
