	neutrophils	lymphocytes	monocytes	eosinophils	basophils
ABCD1	0.2783522334618949	-0.16711035782582012	0.04332131039939023	-0.0037405370750309558	-0.0042708114522942865
ABCD2	-0.33967682116481934	0.1738276632151584	-0.031928700862901394	-0.003945166258491383	0.001638718413112095
ABCD3	-0.263746936469165	0.1034054877556641	0.007660192224346017	0.0003344314887796223	0.003932646469183171
ABCD4	-0.531314635766194	0.27743500714144	0.008379118474142952	0.009413086165101524	-0.007158291374855023
ABCE1	-0.22917887695573042	0.09406025650594817	-0.00970131716824834	-0.002614157372581665	0.0016657704159188942
ABCF1	-0.3931342299635522	0.16323628035372167	0.014168261530505086	0.019658406207331756	-0.007782915123143506
ABCF2	-0.4979801160002395	0.4294889532251321	0.018758908754952265	-0.007082313866428436	0.0041768059055486174
ABCF3	-0.18290331894606826	0.2332467977982026	0.038648285085496045	0.0093204916117343	-0.0020003596548433464
ABCG1	0.35358957538404034	-0.39370994129243203	-0.03178956737948869	-0.027459179399369503	-0.00887150276703982
ABCG2	-0.22278156184655487	-0.19000211983188303	-0.03839627548865575	-0.029075604197124932	-0.0038885044879804188
ABCG4	0.21453068648805435	-0.06650049134064565	-0.015254204981846708	-0.015185444752788681	-0.0007397258963068357
ABCG5	0.24000888169739254	-0.04717137662029261	0.009396445815800188	-0.03377189536552061	0.0021097804484893033
ABCG8	0.19136685754329208	-0.12124257093237341	-0.013215016400185742	-0.02671439996579172	-0.001993908199909199
ABHD1	0.02005199347882136	0.013140032046242617	0.014093356328972753	-0.011083459507783743	-0.008259512816709799
ABHD10	-0.28801232974179836	0.07841015644686333	0.01673952411272022	0.013932568462049636	0.0041443261414163286
ABHD11	0.46780987866490525	-0.12428959526101874	0.04932541169543262	-0.006215441658452378	-0.0003329874331361657
ABHD12	-0.17578744336247568	0.1322999877305271	0.03783818091876799	0.017581278324272552	-0.0003752411231996906
ABHD12B	0.7623427423464821	-0.14897397787117506	0.014026601134936617	0.028456831042016587	0.001007630811288006
ABHD13	0.14107866778837616	-0.03697787115801392	0.013430532679781195	-0.004875634334948542	0.0034431519927321428
ABHD14A	-0.21627126396207325	0.09267371817673296	-0.016821981287844713	-0.012247146174886018	0.00019694263205243066
ABHD14B	-0.30769123552567057	0.3044887622922122	0.020270085338885135	-0.019101570903203673	-0.004470957356951206
ABHD2	0.5075667152146492	-0.2451617472587409	0.02139241763900921	0.019197541079300343	-0.0024440170527812257
ABHD3	0.7820909994312246	-0.22870894157987226	0.019503885256268262	-0.012125337598404536	0.0004370256801991793
ABHD4	0.7172145984226184	-0.16246047239015016	0.013930147444016217	-0.033064370634972674	-0.0019108768830814866
ABHD5	0.6047618189074604	-0.2544284047006123	0.012098111558307516	-0.0075572115061037165	-0.0011982165001677412
ABHD6	-0.3251015069387768	0.012012529778209713	0.07805474756900668	0.024370984328887957	-0.00930389498002398
ABHD8	-0.03462975553861497	-0.09202127215194814	-0.04589689436130506	-0.03171558935527537	-0.0010806867245810874
ABI1	0.06718668202521505	-0.06342589834213296	-0.0008437715724221202	-0.00035302463802232027	0.0011625885898294379
ABI2	-0.5649809425004495	0.18620173950101357	-0.03419553134432299	-0.0020383834259548456	-0.004146211948999589
ABI3	-0.015324300882047615	-0.13634665881260571	0.05834040310695925	-0.00046361247256038185	-0.009949133043839096
ABI3BP	0.3235625776989355	-0.012212517505036102	-0.0327402920375848	-0.027064928193836976	0.00956474281620951
ABL1	-0.4318653815183041	0.16142268449888167	0.025878349841043466	0.007767808975409348	-0.005775172473801794
ABL2	-0.2874479435597417	0.1863331119033068	-0.004480016127157899	-0.0015095379955391633	-0.00780969330736162
ABLIM1	-0.7031309946689421	0.4624459399288319	-0.07485231478744696	-0.00837162528742213	0.0043322870892482344
ABLIM2	-0.07782831026796372	-0.020852980567999058	-0.03566587041311767	-0.028790151049817834	-0.0010884775843721124
ABLIM3	-0.18017602700733515	-0.39554016937127956	-0.04187644620509827	-0.018077662772719195	-0.0055688072469858374
ABO	0.23606496018871614	-0.15324447492790422	0.0017122175654698327	0.0125065032592326	-0.0011109970703912474
ABR	0.2067444005535098	-0.06548994052353829	0.03479060053930132	0.00897167215870823	-0.00554427870539507
ABRA	-0.04647306547240106	0.0283642014421273	-0.008349330228778408	-0.01025254052351907	-0.0003851850354067638
ABT1	-0.13651062040801354	0.20636107104838214	0.030590804746132953	-0.004549185331468335	-0.002075038069351714
ABTB1	0.5991896339259064	-0.20805034523319216	0.01710016562030402	-0.0075036324105789	-0.0012997852445146695
ABTB2	0.25697894737967014	-0.1842621068111972	0.026713734855088475	0.17898450617811354	0.003862905086641502
ACAA1	0.7955482122698687	-0.1712603924068365	0.09878187008515159	0.024594337310939428	-0.0009165262934046885
ACAA2	-0.12717642851010497	0.0417552999552183	0.02965435083595637	0.01821377106164995	-0.001350030804060755
ACACA	-0.7980736834977907	0.43463519217597185	0.01258701587471158	0.014964779561136034	-0.004629616934443623
ACACB	-0.48469062916671324	0.1919567687634894	-0.004347039356189672	0.10996486486262097	0.003019304667226571
ACAD10	-0.12269951933324247	0.12039479191346218	0.050264737965619075	0.02175595538295381	-0.0057224640024131496
