	neutrophils	lymphocytes	monocytes	eosinophils	basophils
ABCC10	0.4530327102299377	0.054504411863311106	0.0023102289276398704	0.029974104006832387	0.0007476564273745199
ABCC11	0.9344843615179838	0.08889134155429454	0.02885422811876303	-0.2766225355927061	-0.005197014456042103
ABCC13	-0.09340380469818815	-0.07161784743676956	-0.021371200779462838	-0.06655893923993043	-0.006139834223570681
ABCC2	0.3171732986402412	0.0924318939777036	-0.010710470927229033	-0.10850306328920406	0.003179047002520175
ABCC3	-0.012551470227377435	-0.027951294567489154	-0.008259257985920813	-0.09066137817213597	-0.0036717632628046567
ABCC4	0.07584572885947034	0.021323048308961954	-0.015477949259391827	-0.09653245797953784	-0.001506760484854453
ABCC5	0.2412650606302435	0.009477488191544928	-0.002931451106205638	0.033526584134095365	0.001424521116573536
ABCC5-AS1	-0.07949290511166007	0.01018657863367439	-0.01656039332389875	-0.02370295281684939	0.0019771136812731425
ABCC6	0.1020423197855519	0.05360904366000359	-0.003241799839061624	-0.04789254510761535	0.001630998378885373
ABCC6P1	0.14920982422749907	0.10703744630578957	-0.003392764306975311	-0.08071245160795458	0.0020232039663961995
ABCC6P2	0.028003009798226796	0.01676118166079657	-0.008550593469765269	-0.03352276555955804	0.0013974126684702603
ABCC9	0.1445417386911833	0.09761410810210817	-0.0102036033775041	0.026045286470545954	0.0015337099043328012
ABCD1	0.45459409921010857	0.07390245570692193	0.02386714728640585	-0.01899642060826949	-0.0013253738446105804
ABCD2	0.188561842246215	0.013144850389185225	-0.010779996704149943	-0.07324161294863174	0.0007928488217491725
ABCD3	0.10211580076044123	0.013726047839898291	-0.026051148368639913	-0.20887751597283624	-0.00481406436168712
ABCD4	-0.23709744996225868	0.04627139836900625	0.04040762449341777	0.07371124357947326	2.3821558709943803e-05
ABCE1	-0.14955369039637395	-0.1291844395499899	-0.03180125317804511	-0.1585954144717677	-0.0006876584128054803
ABCF1	-0.31207756953946747	-0.044478325305740855	0.023005060234490483	0.14737148576772263	-0.0014995290622064879
ABCF2	0.08469990990812463	0.056248574219626035	0.03180404149225116	-0.029803688006479066	-0.0007130521801564123
ABCF3	-0.29814593796742567	0.030812944529935764	0.04047427134949362	0.13391802061731736	0.002090753082427528
ABCG1	0.41998697858198014	0.12158264029891565	0.016114744896515928	0.08469813201039073	0.0019482963393206451
ABCG2	0.2692480833972606	0.00437722722608872	-0.021397215164513192	-0.07992727522680533	-0.002076015161096029
ABHD10	0.02121899079583915	0.03989340297255263	-0.01644075193941428	-0.12297806931810881	0.0007574673645458491
ABHD11	-0.46113863705713765	0.012770408082525032	-0.00505849332544253	0.10074385092653863	9.329744979478605e-05
ABHD12	-0.5869912504797934	-0.11010922870824891	-0.0072397135967083364	-0.007785288027619906	-0.00799105280327496
ABHD12B	-0.11522320828290167	-0.016931501086464396	-0.010134610813368831	-0.030869431759294998	0.00147490831937663
ABHD13	0.2648664124693204	-0.06145471970016413	-0.01933165650304584	-0.15279553798812487	-0.003967465658445798
ABHD14A	-0.25726792971865675	0.011683776149402011	-0.013712181616171255	-0.030396529745107728	0.0017282851424421067
ABHD14A-ACY1	0.157917930342828	0.02406437061231954	-0.006166063620453611	-0.030920653825538987	0.001107192309243516
ABHD14B	-0.6035489874765103	0.006268211148452881	-0.003129338075903084	0.08137715182998558	0.00047840353387558206
ABHD15	0.38329662358533234	0.11958647981338415	0.010004660302065699	0.027396893536703264	0.002647877515643277
ABHD16A	0.09331140044129298	0.017300112399491634	0.07111670090295362	-0.014599211713052698	-0.0031997956090996796
ABHD17A	0.23087102302083354	0.022114275572313026	0.002543276136548407	0.058942348626090886	-0.0006740258923812689
ABHD17B	0.5093186666670627	-0.026116755756083562	-0.015234692607314925	-0.12206990189458185	-0.0025576145296565093
ABHD17C	-0.38115510199245295	-0.05382234104590713	0.006233431654092965	0.185914627868191	-0.0006806699873674962
ABHD2	0.0673915429551753	-0.04710535117132407	-0.00626945178315178	0.06771679283397461	0.0022267443535524526
ABHD3	-0.434049021086499	-0.10371271300700578	0.030618533616649925	0.07138868401400666	-0.004726736594129514
ABHD4	-0.3760314860836339	-0.0017367702929412853	0.01653347317851208	0.09652007127467346	-0.0009600661932611774
ABHD5	-0.1282309437919594	-0.02493169573855581	0.009325980381487228	-0.02902755834610134	-0.0073828916649893075
ABHD6	0.17075473116483944	0.024861581487044395	0.010887173551184603	-0.09463993342902716	0.002803813777463142
ABHD8	-0.059106866191008016	0.13276280231729032	-0.0010678236586019723	0.09034873892253169	0.0024367896631513264
ABI1	-0.7187306603716141	-0.06533395490176772	0.001882421819295113	0.030992084952535155	-0.004913517190307383
ABI2	0.25900398059807445	0.0009100850452164119	-0.011456455166155868	-0.07565811690761357	0.00135681473654966
ABI3	0.21263829713784135	0.007604693120406645	-0.0005708133666959294	-0.0339647605735707	-0.00030847026922154494
ABI3BP	0.15096648800653414	0.05356199246460455	-0.00883341270471413	-0.06776676132635277	-0.0017991948870399823
ABL1	-0.004352369670517733	0.0752273535780431	0.00018136298986346899	0.07666883834431727	0.0026877500420633663
ABL2	0.46003399436523645	-0.0037344605853561925	-0.0076003953485000875	-0.06350833054393706	-0.0006060076941719643
ABLIM1	-0.030134659013097944	-0.08619764922409395	-0.012870755696908633	-0.0032144078722207577	-0.0017822355273719144
ABLIM2	0.030937615044959316	0.00953050686442624	0.00902050408847885	0.11807644436005499	0.0003095678036792795
ABLIM3	-0.10975358475055316	-0.02444531165245706	0.004383413055171243	0.015958022931542193	-0.0024849998943621988
ABO	-0.08574337711645004	-0.014495527462009463	0.011273101345072697	0.07514578649999833	0.0014075732901440764
ABR	0.29216613419761267	0.14446124469022462	0.030840640775585935	0.20773270897916465	0.003504602740998613
ABRACL	-0.44294877462279686	-0.029623294505930764	0.015769266259016274	0.04067184383233009	-0.0012427571794097476
ABT1	-0.6925084803589585	-0.025970184637871232	0.006064374861926652	0.03919812550433754	-0.0038284579987705966
ABTB1	-0.05943169854979064	0.024242623570121226	0.008856563163425089	0.028062837484206418	-0.002277283493513254
ABTB2	-0.06524460698231556	-0.07557922383843109	0.007916984839611244	0.04562102178983461	-0.0037547181073957245
ACAA1	-0.3656263114477119	0.012123405367005794	0.021806369765467126	0.10334533439062128	-0.0019061162615487159
ACAA2	-0.032069197125356406	-0.015861596656576084	-0.0017635556008464197	-0.028246953564302558	0.00042566622222150736
ACACA	0.4742772473882926	0.0002553729348247335	-0.006560988653630189	-0.06413949688163158	0.0005345417340660489
ACACB	0.29858103970106664	0.09041314005964424	-0.005535880736560903	-0.046208994955988486	0.0016563861139688761
ACAD10	0.4316511687522938	0.09986511763064486	-0.012027735129103267	-0.022279269477082763	0.0009448100596190781
ACAD11	0.2038645307780383	0.020187241101100293	-0.0143763185114998	-0.06951197932583306	0.0012437250032177292
ACAD8	0.06266709673586923	0.029700226089949825	0.01248636541658459	-0.07874230250806165	-0.002966988829967736
ACAD9	-0.1409373846836265	0.0102861368201079	0.03046735568298702	0.1692630271038738	-0.0016680027066216059
ACADL	-0.11736329623727318	0.03659100140995124	-0.016478438116764246	-0.18507791721139846	-0.0014796436770906844
ACADM	-0.4574717909954389	-0.0772552663627765	-0.002339999314735033	-0.05627882323165669	0.00016788904716046087
ACADS	-0.25778219119067614	0.038266744100434825	-0.02942951458816994	-0.05113886396537907	0.0011340066618233616
ACADSB	-0.4377133422483985	-0.042987995634260784	-0.02078269803566987	-0.10324475362807468	-0.0001642682244968048
